x,y,z,label,source
0.2875501,1.155417,-0.3534631,0,HeadPositionNS
0.2875327,1.155416,-0.3534467,0,HeadPositionNS
0.2875155,1.155424,-0.3534327,0,HeadPositionNS
0.287487,1.155436,-0.3533988,0,HeadPositionNS
0.2874819,1.155465,-0.353397,0,HeadPositionNS
0.2874735,1.15547,-0.3534108,0,HeadPositionNS
0.2874693,1.155485,-0.353432,0,HeadPositionNS
0.2874569,1.155492,-0.3534277,0,HeadPositionNS
0.2874551,1.155489,-0.3534249,0,HeadPositionNS
0.2874334,1.155488,-0.353426,0,HeadPositionNS
0.2874378,1.15548,-0.3534239,0,HeadPositionNS
0.2874378,1.155467,-0.353422,0,HeadPositionNS
0.2874322,1.15543,-0.3534395,0,HeadPositionNS
0.287414,1.155436,-0.3534504,0,HeadPositionNS
0.2874059,1.155424,-0.3534404,0,HeadPositionNS
0.2874008,1.155414,-0.3533762,0,HeadPositionNS
0.2873882,1.15543,-0.3533395,0,HeadPositionNS
0.2873892,1.155492,-0.3533015,0,HeadPositionNS
0.2873676,1.155509,-0.3533012,0,HeadPositionNS
0.287368,1.155505,-0.3533084,0,HeadPositionNS
0.287351,1.155499,-0.3533467,0,HeadPositionNS
0.287331,1.15549,-0.3533776,0,HeadPositionNS
0.2873285,1.155434,-0.3534108,0,HeadPositionNS
0.2873193,1.155375,-0.3534423,0,HeadPositionNS
0.2873219,1.155322,-0.35342,0,HeadPositionNS
0.2873105,1.155274,-0.3533977,0,HeadPositionNS
0.2873058,1.155254,-0.3533849,0,HeadPositionNS
0.2872682,1.155241,-0.3533971,0,HeadPositionNS
0.287243,1.155235,-0.3534111,0,HeadPositionNS
0.2871726,1.155269,-0.353435,0,HeadPositionNS
0.2871081,1.155266,-0.3534694,0,HeadPositionNS
0.2870909,1.155282,-0.353488,0,HeadPositionNS
0.2870859,1.155325,-0.353487,0,HeadPositionNS
0.2870994,1.155373,-0.3534833,0,HeadPositionNS
0.2871086,1.155398,-0.3534664,0,HeadPositionNS
0.2871226,1.155421,-0.3534663,0,HeadPositionNS
0.287151,1.155458,-0.3534523,0,HeadPositionNS
0.2871685,1.155467,-0.3534442,0,HeadPositionNS
0.2871995,1.155457,-0.3534496,0,HeadPositionNS
0.2872219,1.15542,-0.3534561,0,HeadPositionNS
0.2872409,1.155403,-0.353454,0,HeadPositionNS
0.2872581,1.155374,-0.3534279,0,HeadPositionNS
0.2872735,1.155361,-0.3534203,0,HeadPositionNS
0.2872837,1.155352,-0.3534031,0,HeadPositionNS
0.2872913,1.155353,-0.3533962,0,HeadPositionNS
0.2872991,1.155356,-0.3533824,0,HeadPositionNS
0.2872928,1.155351,-0.3533697,0,HeadPositionNS
0.2872849,1.155385,-0.3533541,0,HeadPositionNS
0.2872552,1.155413,-0.3533345,0,HeadPositionNS
0.2872257,1.15545,-0.3533132,0,HeadPositionNS
0.2871951,1.15545,-0.3532919,0,HeadPositionNS
0.2871729,1.155457,-0.3532777,0,HeadPositionNS
0.2871322,1.155428,-0.3532542,0,HeadPositionNS
0.287098,1.155399,-0.3532423,0,HeadPositionNS
0.2870637,1.15539,-0.3532263,0,HeadPositionNS
0.2870373,1.155373,-0.3532172,0,HeadPositionNS
0.287003,1.155354,-0.3531916,0,HeadPositionNS
0.2869485,1.155318,-0.3531575,0,HeadPositionNS
0.2869206,1.155306,-0.3531347,0,HeadPositionNS
0.2868929,1.155315,-0.3531325,0,HeadPositionNS
0.2868784,1.15533,-0.3531248,0,HeadPositionNS
0.2868735,1.155361,-0.3531206,0,HeadPositionNS
0.2868882,1.155375,-0.3531147,0,HeadPositionNS
0.286913,1.155391,-0.3531129,0,HeadPositionNS
0.2869349,1.155393,-0.3531267,0,HeadPositionNS
0.2869582,1.155399,-0.3531419,0,HeadPositionNS
0.2869722,1.155415,-0.3531484,0,HeadPositionNS
